dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.913194444,0.009061103,0.913194444,24.22953354,0.014024121
Adiac,0.825892857,0.013696153,0.825892857,27.35473114,0.014035915
ArrowHead,0.873116135,0.01850951,0.873116135,5.39705014,0.006836775
Beef,0.8,0.047140452,0.8,3.53063242,0.002512883
BeetleFly,0.83,0.06,0.8,2.914134441,0.002082596
BirdChicken,0.95,0.063245553,0.95,2.92695818,0.002096802
BME,1,0.002083333,1,3.3290291,0.005188526
Car,0.916666667,0.008164966,0.916666667,6.40384314,0.004176454
CBF,1,0.000416667,1,3.3628696,0.026449146
Chinatown,0.9921875,0,0.9921875,2.36168466,0.00944741
ChlorineConcentration,0.8734375,0.004801846,0.8734375,24.3643264,0.122648612
CinCECGTorso,0.871527778,0.007739864,0.871527778,11.08079768,0.209287217
Coffee,1,0,1,5.16163854,0.001913813
Computers,0.818292026,0.010024086,0.818292026,31.56917544,0.019151546
CricketX,0.850446429,0.008436332,0.850446429,26.16053814,0.016820121
CricketY,0.892857143,0.00877093,0.892857143,26.1431742,0.016805953
CricketZ,0.864583333,0.007389708,0.864583333,26.13628088,0.0167872
Crop,0.787606939,0.001340839,0.787606939,289.0727597,0.393961053
DiatomSizeReduction,0.951375,0.003306811,0.951375,2.41557872,0.014227566
DistalPhalanxOutlineAgeGroup,0.817708333,0.009547033,0.817708333,22.54032418,0.005047093
DistalPhalanxOutlineCorrect,0.808125,0.007405657,0.808125,30.25194592,0.008185795
DistalPhalanxTW,0.712784091,0.011424239,0.634943182,16.9976764,0.00502102
Earthquakes,0.742424242,0.012373818,0.742424242,31.04158548,0.008902811
ECG200,0.931423611,0.007115938,0.931423611,5.67536062,0.003380488
ECG5000,0.943794014,0.00140498,0.943794014,24.41179474,0.131980948
ECGFiveDays,1,0,1,3.05682084,0.025187059
ElectricDevices,0.75596091,0.003994843,0.75596091,478.107497,0.194049191
EOGHorizontalSignal,0.713169643,0.006790111,0.713169643,77.05952834,0.042429542
EOGVerticalSignal,0.563244048,0.009001507,0.563244048,83.77711524,0.042270591
EthanolLevel,0.816075721,0.019688577,0.762469952,149.1633663,0.07812978
FaceAll,0.962740385,0.021843316,0.962740385,26.96566862,0.047926673
FaceFour,0.955729167,0.008333333,0.955729167,2.6607978,0.004901738
