dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9140625,0.005625643,0.921006944,13.69815592,0.008832673
Adiac,0.846875,0.009321702,0.861607143,17.34348312,0.01270455
ArrowHead,0.859419326,0.025076922,0.895390071,1.98113482,0.00250219
Beef,0.793333333,0.024944383,0.833333333,1.51788718,0.001213286
BeetleFly,0.94,0.02,0.95,0.70717286,0.000556215
BirdChicken,0.92,0.024494897,0.95,0.8943723,0.00070062
BME,0.991666667,0.002551552,0.994791667,1.04317882,0.001651357
Car,0.91,0.022607767,0.933333333,2.73076862,0.001930709
CBF,0.999166667,0.000416667,1,0.95083374,0.007866602
Chinatown,0.991145833,0.002083333,0.9921875,0.58846202,0.002479463
ChlorineConcentration,0.848072917,0.009714065,0.86015625,17.13056938,0.09388138
CinCECGTorso,0.870643939,0.009128617,0.886679293,5.03834368,0.098829832
Coffee,1,0,1,1.30616246,0.000493305
Computers,0.850969828,0.01435876,0.869881466,16.22496958,0.010640751
CricketX,0.870535714,0.00903949,0.879464286,15.27429478,0.010784644
CricketY,0.878571429,0.007935888,0.886160714,15.90976416,0.011223692
CricketZ,0.864583333,0.00773237,0.875744048,15.9706769,0.011268617
Crop,0.775570342,0.000849053,0.77661597,86.0871424,0.136114117
DiatomSizeReduction,0.94165,0.013440238,0.9585,0.85005796,0.005249446
DistalPhalanxOutlineAgeGroup,0.836458333,0.007064927,0.848958333,3.50453284,0.001110326
DistalPhalanxOutlineCorrect,0.818,0.010653638,0.83625,6.48927076,0.002266467
DistalPhalanxTW,0.711363636,0.015864498,0.737215909,5.21333368,0.001660155
Earthquakes,0.742234848,0.012582943,0.762310606,8.41344814,0.002584392
ECG200,0.920659722,0.005423784,0.925347222,1.31154338,0.00082812
ECG5000,0.946637324,0.000428183,0.947183099,8.24604744,0.052738147
ECGFiveDays,0.998660714,0.001301552,1,0.74667084,0.006489633
ElectricDevices,0.73778909,0.005963966,0.747608971,116.9885615,0.06957484
EOGHorizontalSignal,0.692733135,0.005295821,0.699032738,37.77339298,0.023302438
