dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9109375,0.020924281,0.933159722,12.47772,0.007896456
Adiac,0.842346939,0.006720983,0.852678571,14.79495322,0.01074746
ArrowHead,0.85731383,0.016115286,0.874556738,1.92758202,0.002497638
Beef,0.793333333,0.057348835,0.9,1.39823956,0.001067402
BeetleFly,0.87,0.024494897,0.9,0.59602452,0.000448666
BirdChicken,0.95,0.054772256,1,0.68355152,0.000516104
BME,0.998958333,0.002083333,1,1.03947442,0.0016664
Car,0.936666667,0.012472191,0.95,2.7727941,0.001938806
CBF,0.99875,0.000416667,0.998958333,0.91009266,0.007347105
Chinatown,0.991666667,0.001041667,0.9921875,0.49621716,0.002046756
ChlorineConcentration,0.863697917,0.00422678,0.8671875,18.0075519,0.096252944
CinCECGTorso,0.868181818,0.011911237,0.886126894,7.11202554,0.139308967
Coffee,1,0,1,1.24992886,0.000464471
Computers,0.825700431,0.003231636,0.829606681,10.45564938,0.006850185
CricketX,0.860267857,0.002276348,0.863839286,12.25575788,0.008546334
CricketY,0.875,0.006469365,0.881696429,14.65801146,0.010222728
CricketZ,0.866815476,0.006153593,0.873511905,11.15789774,0.007782232
Crop,0.776746673,0.002467195,0.781071768,104.2273789,0.157377395
DiatomSizeReduction,0.96475,0.012555626,0.98125,0.76018028,0.004541499
DistalPhalanxOutlineAgeGroup,0.84375,0.011876827,0.864583333,3.85090176,0.001180378
DistalPhalanxOutlineCorrect,0.8155,0.011134125,0.82625,5.93320516,0.002020225
DistalPhalanxTW,0.634943182,0.01755499,0.737215909,4.4539787,0.001365393
Earthquakes,0.735511364,0.012979359,0.748579545,6.57172498,0.001993397
ECG200,0.914756944,0.010203254,0.925347222,1.3517885,0.000855365
ECG5000,0.945132042,0.001143214,0.946698944,6.14652114,0.037703182
ECGFiveDays,0.999553571,0.000546761,1,0.80175486,0.00677545
ElectricDevices,0.741059051,0.004492883,0.747575646,111.4781636,0.06388367
EOGHorizontalSignal,0.690649802,0.010080434,0.708085317,37.42232172,0.02305944
EOGVerticalSignal,0.540724206,0.016524559,0.56609623,30.63007904,0.018876267
EthanolLevel,0.762469952,0.005018479,0.822566106,107.8045448,0.064196151
FaceAll,0.897462607,0.027546152,0.942174145,12.72441992,0.023560504
FaceFour,0.959895833,0.008333333,0.9765625,0.71110824,0.001370811
FacesUCR,0.96780303,0.001339217,0.970170455,5.045665,0.027918337
FiftyWords,0.676897321,0.022248486,0.78515625,21.48494186,0.014937509
Fish,0.991666667,0.004166667,0.994791667,4.97136394,0.003423857
FordA,0.962827381,0.001325658,0.965029762,73.67959502,0.017935048
FordB,0.858940018,0.00408617,0.863953755,108.3684381,0.016183228
FreezerRegularTrain,0.999027778,0.000259837,0.999305556,3.37130636,0.033076084
FreezerSmallTrain,0.936597222,0.005686817,0.942708333,3.27147944,0.073943443
Fungi,0.996875,0.002551552,1,1.5954758,0.003406166
