dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.927083333,0.006547285,0.927083333,11.3123511,0.007247427
Adiac,0.832589286,0.001822537,0.832589286,14.5320466,0.011161776
ArrowHead,0.845190603,0.008796802,0.845190603,1.857917699,0.002490934
Beef,0.8,1.11E-16,0.8,1.2602246,0.000999734
BeetleFly,0.9,0.094280904,0.9,0.521259133,0.000417923
BirdChicken,1,0.062360956,1,0.796653,0.000639147
BME,1,0,1,0.903651267,0.001523229
Car,0.916666667,0.007856742,0.916666667,2.178355767,0.00153198
CBF,1,0.000491046,1,0.772442733,0.006574042
Chinatown,0.9921875,0,0.9921875,0.460897267,0.002056045
ChlorineConcentration,0.890885417,0.006272865,0.890885417,18.06560633,0.102910779
CinCECGTorso,0.888099747,0.015090884,0.888099747,6.9614662,0.138159094
Coffee,1,0,1,1.083574,0.000416488
Computers,0.830414871,0.005233432,0.830414871,11.8901204,0.007883527
CricketX,0.866071429,0.005858637,0.866071429,11.9040749,0.008602715
CricketY,0.886160714,0.009173235,0.886160714,11.88613383,0.008611262
CricketZ,0.857886905,0.004394852,0.857886905,13.295188,0.009629289
Crop,0.786002852,0.001943575,0.786002852,111.1387791,0.185990646
DiatomSizeReduction,0.978125,0.008436034,0.978125,0.7026372,0.004411229
DistalPhalanxOutlineAgeGroup,0.838541667,0,0.838541667,3.044326367,0.001005182
DistalPhalanxOutlineCorrect,0.82,0.007654655,0.82,4.6809793,0.001717626
DistalPhalanxTW,0.737215909,0.020533454,0.737215909,5.1556542,0.001695746
Earthquakes,0.746685606,0.008548992,0.746685606,7.681707334,0.00238665
ECG200,0.939236111,0.014645892,0.939236111,1.628145633,0.001068385
ECG5000,0.946258803,0.000416522,0.946258803,5.891058633,0.039056254
ECGFiveDays,1,0,1,0.5958328,0.005367349
ElectricDevices,0.756090043,0.005893578,0.756090043,114.4608002,0.070815488
EOGHorizontalSignal,0.719742063,0.011527774,0.719742063,37.83462067,0.023548924
EOGVerticalSignal,0.569940476,0.017155577,0.569940476,26.8918761,0.016707289
EthanolLevel,0.740084135,0.007373523,0.740084135,74.36675827,0.044653228
FaceAll,0.945067664,0.016621979,0.945067664,7.025381633,0.013828113
FaceFour,0.955729167,0.007365696,0.955729167,0.644231633,0.001282035
FacesUCR,0.974431818,0.003807556,0.974431818,4.2801681,0.025937843
FiftyWords,0.757533482,0.006639348,0.757533482,17.43490977,0.012594242
Fish,1,0.006495933,1,5.9286902,0.004188365
FordA,0.966815476,0.001233115,0.966815476,96.0479666,0.023834471
FordB,0.859203297,0.003305753,0.859203297,118.7050234,0.018081425
FreezerRegularTrain,0.998958333,0.000327364,0.998958333,3.825507667,0.038861376
FreezerSmallTrain,0.937152778,0.006967554,0.937152778,3.397344934,0.079781604
Fungi,1,0,1,1.015995733,0.002262703
GunPoint,1,0.002455232,1,0.6922853,0.001582338
GunPointAgeSpan,0.996875,0.001473139,0.996875,4.7074133,0.006298403
GunPointMaleVersusFemale,1,0,1,2.3435919,0.003131703
GunPointOldVersusYoung,1,0,1,1.3691049,0.001828037
Ham,0.802782012,0.003926723,0.802782012,3.543385633,0.002525094
HandOutlines,0.9528125,0.001096915,0.9528125,336.8418084,0.074999078
Haptics,0.564663462,0.011535679,0.564663462,12.71670893,0.015459539
Herring,0.6875,0,0.6875,1.380070433,0.000962237
HouseTwenty,0.944034091,0.004410785,0.944034091,4.388978267,0.007714698
InlineSkate,0.471034357,0.013427217,0.471034357,15.83593457,0.051218212
InsectEPGRegularTrain,1,0,1,1.061599433,0.002857091
InsectEPGSmallTrain,1,0,1,0.505164467,0.002893127
InsectWingbeatSound,0.626780914,0.002744838,0.626780914,3.686160333,0.019562091
ItalyPowerDemand,0.975183824,0.000433276,0.975183824,1.535270233,0.009537682
LargeKitchenAppliances,0.921022727,0.005367461,0.921022727,14.00039833,0.00933002
Lightning2,0.918032787,0.030911772,0.918032787,1.793325134,0.001273748
Lightning7,0.9296875,0.039616908,0.9296875,2.163336734,0.00155821
Mallat,0.966401615,0.002808268,0.966401615,7.7254287,0.202800582
Meat,0.983333333,0.007856742,0.983333333,1.970767,0.001440829
MedicalImages,0.790922619,0.00435531,0.790922619,5.043198967,0.007241192
MiddlePhalanxOutlineAgeGroup,0.719150641,0.008852464,0.719150641,3.549943667,0.001141221
MiddlePhalanxOutlineCorrect,0.869285714,0.014226502,0.869285714,6.998164133,0.002548867
MiddlePhalanxTW,0.621394231,0.003319926,0.621394231,4.085466833,0.001308796
MixedShapesRegularTrain,0.972039474,0.000512837,0.972039474,30.08765647,0.091023798
MixedShapesSmallTrain,0.929225819,0.00352478,0.929225819,7.762020767,0.112766377
MoteStrain,0.890711806,0.006733759,0.890711806,0.5032477,0.00678063
NonInvasiveFetalECGThorax1,0.966521057,0.003920105,0.966521057,155.8330841,0.110300887
NonInvasiveFetalECGThorax2,0.962992832,0.002698652,0.962992832,109.2131418,0.077197346
OliveOil,0.733333333,0.15713484,0.733333333,0.898763033,0.000676535
OSULeaf,0.97546875,0.00487195,0.97546875,5.753967367,0.004573546
PhalangesOutlinesCorrect,0.852163462,0.001032602,0.852163462,27.58064723,0.009461018
Phoneme,0.340520833,0.008682916,0.340520833,18.28856323,0.098745102
PigAirwayPressure,0.63671875,0.003682848,0.63671875,28.00532527,0.034630664
PigArtPressure,1,0.001841424,1,18.68786887,0.023044439
PigCVP,0.89453125,0.020505229,0.89453125,21.78982447,0.026845089
Plane,1,0,1,1.322984667,0.000749344
PowerCons,1,0.002455232,1,1.843230633,0.001453449
ProximalPhalanxOutlineAgeGroup,0.879507212,0.006639348,0.879507212,4.6385093,0.00202773
ProximalPhalanxOutlineCorrect,0.932321429,0.009257149,0.932321429,7.4484044,0.0027372
ProximalPhalanxTW,0.86328125,0.001841424,0.86328125,3.555461633,0.001536963
RefrigerationDevices,0.580587121,0.007970063,0.580587121,10.05020577,0.006644206
Rock,0.82,0.106249183,0.82,4.3661776,0.006078667
ScreenType,0.613494318,0.004112207,0.613494318,19.54563607,0.012974046
SemgHandGenderCh2,0.891666667,0.004547153,0.891666667,37.77291677,0.046293917
SemgHandMovementCh2,0.47265625,0.012889967,0.47265625,24.5329876,0.014991386
SemgHandSubjectCh2,0.720703125,0.016750886,0.720703125,80.12696187,0.049203468
ShapeletSim,1,0,1,0.569278833,0.002261488
ShapesAll,0.9375,0.005311479,0.9375,32.80676907,0.022075775
SmallKitchenAppliances,0.822159091,0.004895069,0.822159091,9.2957782,0.006189494
SmoothSubspace,1,0.002455232,1,1.490134733,0.001139278
SonyAIBORobotSurface1,0.942875,0.035752088,0.942875,0.604052366,0.00415326
SonyAIBORobotSurface2,0.950913743,0.006986913,0.950913743,0.568184367,0.005546805
StarLightCurves,0.981479035,0.000171295,0.981479035,76.80280453,0.395427719
Strawberry,0.984375,0.000595362,0.984375,20.63104557,0.008606301
SwedishLeaf,0.9796875,0.002655739,0.9796875,6.7126562,0.006406192
Symbols,0.977706473,0.002496166,0.977706473,1.0875718,0.019501818
SyntheticControl,1,0.001473139,1,2.819904733,0.002042508
ToeSegmentation1,0.9765625,0.005524272,0.9765625,1.665134833,0.002537866
ToeSegmentation2,0.973958333,0.008852464,0.973958333,0.640177833,0.001606847
Trace,1,0,1,1.767733333,0.000879001
TwoLeadECG,0.999131944,0.000818411,0.999131944,0.7287984,0.008356248
TwoPatterns,1,0,1,7.0085835,0.019837373
UMD,0.994791667,0.002455232,0.994791667,1.075747867,0.001574994
UWaveGestureLibraryAll,0.896691388,0.005463947,0.896691388,67.5623458,0.171188449
UWaveGestureLibraryX,0.818557388,0.004266781,0.818557388,17.8391033,0.050890347
UWaveGestureLibraryY,0.73921731,0.000569436,0.73921731,22.0585989,0.062804856
UWaveGestureLibraryZ,0.764175907,0.001735408,0.764175907,18.7551086,0.053515074
Wafer,0.999677835,0.000347978,0.999677835,11.63493833,0.049554618
Wine,0.888888889,0.094426287,0.888888889,0.8783421,0.000688387
WordSynonyms,0.719707661,0.009289886,0.719707661,9.476871167,0.014106126
Worms,0.798677885,0.013003872,0.798677885,13.41919247,0.004256546
WormsTwoClass,0.8984375,0.007365696,0.8984375,7.690582967,0.002435056
Yoga,0.918455547,0.010322167,0.918455547,12.11026097,0.082837241
