dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.8622685185185185,0.006992503456941294,0.8680555555555556,5.81046500003625,0.014827494531289176
Adiac,0.6045918367346937,0.028931878117892218,0.6313775510204082,4.734463066655735,0.014695382291658158
ArrowHead,0.852947695035461,0.01634094960499828,0.874113475177305,1.3199344333236998,0.00713592031272962
Beef,0.6777777777777777,0.0415739709641549,0.7333333333333333,0.7802241666795453,0.002497821354362865
BeetleFly,0.8333333333333334,0.023570226039551553,0.85,0.5150437333262138,0.0016618161458078855
BirdChicken,0.9333333333333332,0.023570226039551553,0.95,0.5827192999665082,0.0018819841145235234
BME,0.9930555555555555,0.002455231879119922,0.9947916666666666,0.7721807000004143,0.005324484374871948
Car,0.7388888888888889,0.020786985482077476,0.7666666666666667,1.5122005666732246,0.00428640677085923
CBF,0.9961805555555555,0.0019641855032959585,0.9989583333333333,0.6957509333442431,0.024393936458636745
Chinatown,0.9921875,0.0,0.9921875,0.5009895999610308,0.009073950781290327
ChlorineConcentration,0.7389756944444444,0.014317917898746545,0.7528645833333333,6.041113899974637,0.13031005781239932
CinCECGTorso,0.7887205387205388,0.022055933915731518,0.8095801767676768,2.63051056664699,0.20799868046911266
Coffee,1.0,0.0,1.0,1.2017521667148685,0.001863901041645022
Computers,0.8159572557471265,0.023450742449536,0.8382273706896551,7.307870166674547,0.019395185155853294
CricketX,0.7606646825396824,0.004559716346937066,0.7663690476190476,6.199101533338156,0.01782932968745854
CricketY,0.8157242063492064,0.0176318180428336,0.8303571428571429,6.424125766670234,0.01838197630193387
CricketZ,0.8132440476190476,0.010539945119482022,0.8214285714285714,5.94443410000531,0.017173888541814602
Crop,0.778754752851711,0.0005594283464759855,0.7794082699619772,61.75103143332186,0.410167722656297
DiatomSizeReduction,0.8529583333333335,0.036793955194962216,0.885375,0.5744997333580008,0.014759445312146605
DistalPhalanxOutlineAgeGroup,0.8333333333333334,0.004252586358998558,0.8385416666666666,2.924035500009874,0.003864977604412919
DistalPhalanxOutlineCorrect,0.8077083333333334,0.01072056694189055,0.820625,5.197119166703487,0.007669786718357348
DistalPhalanxTW,0.7320075757575758,0.008505172717997162,0.7424242424242425,3.910825399992367,0.005223690885126568
Earthquakes,0.7323232323232323,0.010375934289074263,0.7466856060606061,6.298298466693571,0.007836742447826358
ECG200,0.8972800925925926,0.015403740340516418,0.9175347222222222,1.1597089666684042,0.003090651041588899
ECG5000,0.9449677230046949,0.00045220173143843256,0.9455545774647888,4.637163233312701,0.12427067499989637
ECGFiveDays,0.9988839285714285,0.0009112685054997136,1.0,0.6641671999629276,0.023578571093689032
ElectricDevices,0.7383961499155781,0.005209224078292732,0.7423936950146628,77.6236971666852,0.19414217239568643
EOGHorizontalSignal,0.5355902777777778,0.009361298812071735,0.5487351190476191,17.772907066668267,0.04472160546883212
EOGVerticalSignal,0.4339037698412698,0.012238940451935935,0.44816468253968256,17.73612343334389,0.04425488593733462
EthanolLevel,0.5754707532051282,0.051631470670251076,0.6225961538461539,33.86253200000647,0.08159544374986656
FaceAll,0.8368055555555557,0.002500285763274657,0.8402777777777778,5.423117366646086,0.042928717968891306
FaceFour,0.953125,0.003682847818679935,0.9557291666666667,0.5893522999831475,0.004771843749911871
FacesUCR,0.9513888888888888,0.0008047694939382272,0.9521780303030303,2.555295766685352,0.061921670833328335
FiftyWords,0.5111607142857143,0.025902115993917823,0.5398995535714286,6.5291411999957445,0.018846573958076835
Fish,0.9809027777777778,0.00885246443332082,0.9895833333333334,3.5628029333092854,0.010036825781185144
FordA,0.9625496031746031,0.0028709912953348415,0.9665178571428571,68.45299353331454,0.06780748072928115
FordB,0.85115231990232,0.004646066705768197,0.8555402930402931,78.78328833333701,0.04754899062510276
FreezerRegularTrain,0.9983796296296296,0.00016368212527468937,0.9986111111111111,2.6463017000060063,0.10791850390618644
FreezerSmallTrain,0.8468545751633987,0.011699432459275065,0.8601511437908496,1.271580466675611,0.11876634713553358
Fungi,0.984375,0.008505172717997117,0.9947916666666666,0.7623178666617605,0.006904861197805682
GunPoint,0.9982638888888888,0.002455231879119974,1.0,0.6115698666423365,0.005673422135373585
GunPointAgeSpan,0.9661805555555555,0.015275568022010242,0.9875,1.9669000666690408,0.010570678645914692
GunPointMaleVersusFemale,1.0,0.0,1.0,1.9244628333302292,0.010458873177033942
GunPointOldVersusYoung,1.0,0.0,1.0,1.3598985333519522,0.007291545052093322
Ham,0.7886814024390243,0.0038236577599828287,0.7921112804878049,2.0404125999775715,0.005889602343775853
HandOutlines,0.8629513888888889,0.011067296424796872,0.8751041666666667,100.95610976663495,0.08993720078126444
