dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9198495370370369,0.005684861893630913,0.9270833333333333,14.175243066604404,0.00904266380209151
Adiac,0.8474702380952381,0.0037939133285660393,0.8526785714285714,14.102123066710192,0.010952610872720925
ArrowHead,0.8647680260047282,0.011851687133661635,0.8764406028368795,1.9702546333428472,0.002679974804749463
Beef,0.7777777777777778,0.01571348402636772,0.8,1.286385066555037,0.0010308306639217335
BeetleFly,0.9333333333333332,0.023570226039551553,0.95,0.49883966661097173,0.0004016608724555226
BirdChicken,0.9333333333333332,0.04714045207910316,1.0,0.8423849999380764,0.0006854645181325244
BME,0.9947916666666666,0.0,0.9947916666666666,0.9085469666169956,0.0015446600911464732
Car,0.9333333333333332,1.1102230246251565e-16,0.9333333333333333,2.712595500056826,0.00193369075522772
CBF,0.9975694444444444,0.0012991865926298164,0.9989583333333333,0.9473168999781288,0.008153985156316898
Chinatown,0.9921875,0.0,0.9921875,0.528439766712836,0.0023602060547223878
ChlorineConcentration,0.8440104166666668,0.005107531487276267,0.8510416666666667,15.498209433309967,0.0799824606120012
CinCECGTorso,0.8852325336700337,0.007726693457423652,0.8955176767676768,6.492488533306944,0.141481769531282
Coffee,1.0,0.0,1.0,1.639147133338459,0.0006017346354193857
Computers,0.8389906609195402,0.009756925086633204,0.8526400862068966,14.746372200049032,0.009618724283816013
CricketX,0.8616071428571429,0.007944254651808993,0.8683035714285714,11.846004466720236,0.008264821744650893
CricketY,0.8757440476190476,0.006400539633216239,0.8839285714285714,16.224036966610583,0.01131912636720737
CricketZ,0.8687996031746031,0.008021310331744178,0.8794642857142857,17.001461599948623,0.011798975195281022
Crop,0.7752693282636248,0.0015219127104595135,0.7773883079847909,87.38393660006598,0.15065274127611397
DiatomSizeReduction,0.9409583333333332,0.005311478659992509,0.94825,0.874535133256965,0.005683858984364558
DistalPhalanxOutlineAgeGroup,0.8402777777777777,0.002455231879119974,0.84375,4.302148199916701,0.0014175093098363807
DistalPhalanxOutlineCorrect,0.8029166666666668,0.005597928684393487,0.806875,5.750505799966049,0.002138370182279914
DistalPhalanxTW,0.7149621212121212,0.006075876437790488,0.7215909090909092,5.361817899999248,0.0017838594400529928
Earthquakes,0.7539457070707071,0.020970384454170078,0.7821969696969697,9.628480366664007,0.0029463164063940894
ECG200,0.9103009259259259,0.005684861893630956,0.9175347222222222,1.3137292666603269,0.0008511896484246032
ECG5000,0.945349178403756,0.0009442249360155082,0.9466549295774649,5.852811033308778,0.0395516120442115
ECGFiveDays,1.0,0.0,1.0,0.7154137665978245,0.006532162369931409
ElectricDevices,0.7397249622322937,0.005759781757804682,0.7469133231138363,85.10086853330722,0.05428643769541471
EOGHorizontalSignal,0.6803075396825397,0.004409989107867567,0.6861359126984127,40.02038540005257,0.024977870247293293
EOGVerticalSignal,0.5571676587301587,0.014657437339683886,0.5765128968253969,26.526464200020808,0.01651642591158975
EthanolLevel,0.8016826923076922,0.016789320967186314,0.8254206730769231,135.29048126663838,0.08132548808627386
FaceAll,0.8515847578347578,0.01227879567536514,0.8645833333333334,5.480072966694327,0.011077683333430363
FaceFour,0.9644097222222223,0.008852464433320783,0.9765625,0.6278235667220239,0.0012794408854309343
FacesUCR,0.9673295454545454,0.001393901651882541,0.96875,3.60567080002996,0.02178096614586404
FiftyWords,0.7595796130952381,0.01287183564581713,0.775390625,22.27257323329589,0.016138979687506588
Fish,0.9878472222222223,0.002455231879119974,0.9895833333333334,4.709144199975223,0.0033273495441884884
FordA,0.9611607142857143,0.000796744960526217,0.9620535714285714,62.724443233242106,0.015567166080690717
FordB,0.8548153235653236,0.0012008627122905863,0.8561698717948718,125.99916763339327,0.01923566510420945
FreezerRegularTrain,0.9987268518518517,0.00016368212527463703,0.9989583333333333,2.9841625999688404,0.03039414010408829
FreezerSmallTrain,0.8739242919389977,0.009161813623686751,0.8834150326797385,1.485326433336013,0.03510280592448112
Fungi,0.9947916666666666,0.0,0.9947916666666666,1.4708119999947182,0.003382436783946711
GunPoint,0.9965277777777777,0.002455231879119974,1.0,0.6038871332809018,0.0013947637369255972
GunPointAgeSpan,0.9927083333333333,0.001473139127471995,0.99375,4.421138266698108,0.0060080264975492055
GunPointMaleVersusFemale,1.0,0.0,1.0,2.0980261333412877,0.002851416145811451
GunPointOldVersusYoung,1.0,0.0,1.0,1.3155338000215124,0.001774919726595196
Ham,0.7875381097560975,0.016444701989627622,0.8062118902439024,1.6698445333944012,0.0011850218100543468
HandOutlines,0.9384375,0.011165124789901542,0.9502083333333333,249.2607366332959,0.055482484961023225
Haptics,0.5842147435897436,0.00999709749955037,0.5927884615384615,18.103979333294166,0.02201692968726358
Herring,0.734375,0.0,0.734375,2.3254606998962117,0.0016540650391524043
HouseTwenty,0.9371685606060606,0.003726419009460396,0.9414772727272727,3.3710637666566377,0.005922653515568754
InlineSkate,0.458120126705653,0.009780130060429305,0.4693896198830409,18.499790666649158,0.059747690234331685
InsectEPGRegularTrain,1.0,0.0,1.0,1.0710603666860454,0.002864943294270006
InsectEPGSmallTrain,1.0,0.0,1.0,0.4784052333125146,0.002790795507801628
InsectWingbeatSound,0.6319108422939068,0.004474458574819463,0.6380040322580645,5.6809960666917805,0.03028281842453377
ItalyPowerDemand,0.9745710784313726,0.0008665524279246875,0.9751838235294118,1.5785792333287343,0.009953917513039793
LargeKitchenAppliances,0.8987531565656567,0.0014702617345752635,0.900189393939394,11.890379200063762,0.007886596224021028
Lightning2,0.8306010928961749,0.020446215228272887,0.8524590163934426,2.1907721667036335,0.0015686631510523814
Lightning7,0.9088541666666666,0.009743899444723805,0.921875,1.8557028333695296,0.0013343541666207177
Mallat,0.9514186442540101,0.004324846804194474,0.9575333717864206,7.84580299994559,0.20572569134097307
Meat,0.9166666666666666,0.04714045207910316,0.95,1.6626412666761705,0.001211224804582874
MedicalImages,0.7885664682539684,0.004622519548515783,0.7950148809523809,4.18927763333583,0.006079233333290783
MiddlePhalanxOutlineAgeGroup,0.7044604700854702,0.001322047934910715,0.7063301282051282,3.559549999961746,0.0011686338541683956
MiddlePhalanxOutlineCorrect,0.8616666666666667,0.0037103439859844604,0.8666964285714286,5.920970099992701,0.002232386458331348
MiddlePhalanxTW,0.6109775641025641,0.0,0.6109775641025641,4.01708086663469,0.001304620052176612
MixedShapesRegularTrain,0.9765625,0.002685844016209611,0.9798519736842105,49.703032833373676,0.15031519042958053
MixedShapesSmallTrain,0.9328759810710987,0.0023260091486399727,0.9361654547553093,8.942453799987561,0.1299069294269941
MoteStrain,0.9046006944444445,0.003317592802560432,0.9092881944444444,0.6523030333143348,0.008951471484389609
NonInvasiveFetalECGThorax1,0.961577807646356,0.0036655884862922703,0.9667338709677419,159.8074035334042,0.11315490091138258
NonInvasiveFetalECGThorax2,0.9607825567502987,0.00478914443062333,0.9652217741935484,157.36902700003216,0.11149744609358929
OliveOil,0.7444444444444445,0.041573970964154945,0.8,1.3358138999707687,0.0010102546874009022
OSULeaf,0.9780729166666666,0.0048719497223619025,0.98328125,7.084526733364328,0.005635048632541384
PhalangesOutlinesCorrect,0.849187271062271,0.0037939133285660393,0.8543956043956044,20.463741800020216,0.007200835025969354
Phoneme,0.3474305555555555,0.006245561695721356,0.3540625,18.455580666675814,0.09961924335923793
PigAirwayPressure,0.53515625,0.0229993772560621,0.55859375,22.37916656662128,0.02759953457034688
PigArtPressure,0.9947916666666666,0.0018414239093399675,0.99609375,19.639545933387126,0.024162883659007168
PigCVP,0.84375,0.034499065884093155,0.87890625,20.586964133229532,0.025377051432409797
Plane,1.0,0.0,1.0,1.3493637000210583,0.0007641576822929134
PowerCons,0.9965277777777777,0.002455231879119974,1.0,1.8197106000200922,0.0014412130860440204
ProximalPhalanxOutlineAgeGroup,0.8729967948717948,0.003682847818679935,0.8756009615384616,5.074727533244489,0.002256058463549001
ProximalPhalanxOutlineCorrect,0.9182738095238095,0.003777065967687491,0.9234821428571429,7.047118633267625,0.0026628403645740186
ProximalPhalanxTW,0.859375,0.00318943976924893,0.86328125,3.5367221666529076,0.0015619178385861687
RefrigerationDevices,0.5606376262626264,0.007325442946126383,0.5688920454545454,11.374627833341947,0.007494466341095555
Rock,0.7133333333333333,0.0524933858267454,0.76,4.711334599967813,0.006580037695149106
ScreenType,0.6263573232323232,0.006432117348378206,0.6347537878787879,20.272587299977506,0.013411857421923893
